number,solution,myTime,bp1time,bp2time,bp3time
46413956429717,46413956429771,0.0168,0.0059,0.0889,0.0691
46534678106913,46534678106931,0.0145,0.0108,0.0347,0.0249
47156738274443,47156738324447,0.0142,0.0057,72.9847,71.8269
48130925659805,48130925659850,0.005,0.0024,0.0746,0.0567
48283105366857,48283105366875,0.0046,0.0024,0.029,0.0233
48403874907233,48403874907323,0.0087,0.0033,0.1417,0.1081
49470894177178,49470894177187,0.0056,0.0025,0.0176,0.0138
50024253854220,50024254022358,0.0393,0.0175,256.7247,250.7068
50559343299308,50559343299380,0.0117,0.0049,0.1158,0.0842
51236242056678,51236242056687,0.0043,0.0023,0.0168,0.0139
53893974025239,53893974025293,0.0305,0.0024,0.2059,0.0841
58827520469115,58827520469151,0.0032,0.0018,0.0517,0.0439
58988600100790,58988600100907,0.0079,0.0034,0.2185,0.1352
59724470160863,59724470163068,0.012,0.0049,3.4555,3.0112
61238983147151,61238983147511,0.0199,0.007,0.5212,0.5179
61264854802416,61264854802461,0.0038,0.0131,0.0608,0.09
61291369953095,61291369953509,0.0066,0.0032,0.6181,0.5751
61950545439892,61950545439928,0.0045,0.0023,0.0556,0.0442
62615147577781,62615147577817,0.0053,0.0028,0.0524,0.0437
62806664351425,62806664351452,0.0732,0.0065,0.0424,0.0351
65464381241402,65464381241420,0.0038,0.0027,0.0453,0.0583
65690142668474,65690142668744,0.0257,0.0043,0.5842,0.3925
67115414456411,67115414461145,0.01,0.0039,6.5594,6.7831
69318778935042,69318778935204,0.0049,0.0023,0.3774,0.2826
70919615887630,70919616035788,0.0109,0.0034,216.9115,210.4055
71068811128515,71068811128551,0.0058,0.0026,0.0559,0.0421
71898432210845,71898432210854,0.0156,0.0058,0.017,0.015
71918205071438,71918205071483,0.0034,0.0019,0.0637,0.053
73422776011182,73422776011218,0.0045,0.0026,0.0544,0.0431
73928060889522,73928060892258,0.0353,0.009,3.8224,4.419
74329839775383,74329839775833,0.0072,0.003,0.6628,0.5686
74850168902534,74850168902543,0.0159,0.0054,0.0171,0.0144
75359911944864,75359911946448,0.0145,0.0054,2.6364,2.2241
76487411728437,76487411728473,0.0057,0.0023,0.0495,0.0426
77202714691975,77202714695179,0.0064,0.0028,4.0993,4.6889
77478561773088,77478561773808,0.0051,0.0023,0.9611,0.9656
80426675223816,80426675223861,0.0094,0.0047,0.0661,0.0957
80633010107661,80633010110667,0.0063,0.0028,4.2977,4.4407
80837800204691,80837800204916,0.0047,0.0025,0.3117,0.2472
81513431726602,81513431726620,0.0169,0.0099,0.0453,0.027
