number,solution,myTime,bp1time,bp2time,bp3time
492,924,0.0097,0.005,0.2587,1.0823
493,934,0.2216,0.0127,0.2448,0.2142
494,944,0.0132,0.0063,0.1395,0.1783
495,549,0.051,0.082,0.0202,0.0241
496,649,0.0379,0.0136,0.1183,0.1254
497,749,0.0183,0.0078,0.0967,0.2601
498,849,0.0128,0.005,0.1136,0.3952
499,949,0.0101,0.0052,0.2367,0.2936
500,-1,0.0239,0.0043,0.0095,0.0043
501,510,0.0108,0.0055,0.0075,0.0075
502,520,0.0102,0.005,0.0097,0.01
503,530,0.0121,0.0061,0.0191,0.0173
504,540,0.0099,0.0051,0.015,0.0173
505,550,0.0154,0.0093,0.0197,0.0221
506,560,0.0208,0.008,0.0245,0.0287
507,570,0.0338,0.0079,0.0301,0.0345
508,580,0.0105,0.0053,0.0267,0.0342
509,590,0.0088,0.0048,0.0429,0.0398
510,-1,0.0121,0.0029,0.0042,0.003
511,-1,0.0165,0.0039,0.0064,0.0037
512,521,0.0126,0.0057,0.0132,0.0104
513,531,0.0222,0.0092,0.0188,0.0181
514,541,0.0167,0.0071,0.0131,0.0146
515,551,0.0137,0.005,0.0562,0.037
516,561,0.0173,0.0076,0.0248,0.0266
517,571,0.0084,0.0043,0.0197,0.0245
518,581,0.0127,0.006,0.0253,0.0283
519,591,0.0147,0.0066,0.0561,0.0298
520,-1,0.0085,0.0134,0.0041,0.004
521,-1,0.0059,0.0015,0.0025,0.0021
522,-1,0.0058,0.0016,0.0028,0.0019
523,532,0.014,0.006,0.0089,0.009
524,542,0.0271,0.0096,0.0214,0.0252
525,552,0.0449,0.0168,0.0315,0.0338
526,562,0.0134,0.0059,0.0166,0.0188
527,572,0.0335,0.0105,0.0394,0.0449
528,582,0.0134,0.0063,0.0257,0.0314
529,592,0.0079,0.0041,0.0218,0.0256
530,-1,0.0085,0.0021,0.0034,0.0023
531,-1,0.0077,0.0021,0.0032,0.0022
532,-1,0.007,0.0017,0.0027,0.0019
533,-1,0.0099,0.0023,0.0035,0.0025
534,543,1.2648,0.1088,0.0978,0.0871
535,553,0.0116,0.0056,0.0094,0.0105
536,563,0.0168,0.0108,0.0154,0.0152
537,573,0.0472,0.0063,0.0161,0.0182
538,583,0.0109,0.0059,0.0196,0.0227
539,593,0.0113,0.0055,0.0225,0.0254
540,-1,0.0093,0.0022,0.0033,0.0021
541,-1,0.0173,0.0041,0.0069,0.0042
542,-1,0.009,0.0016,0.0026,0.0017
543,-1,0.0119,0.0031,0.0048,0.0028
544,-1,0.0243,0.0042,0.0118,0.0067
545,554,0.0083,0.0046,0.0061,0.0077
546,564,0.0117,0.005,0.009,0.0096
547,574,0.0171,0.0094,0.0197,0.0354
548,584,0.0093,0.0055,0.0143,0.0187
549,594,0.0113,0.0052,0.0167,0.019
550,-1,0.0089,0.0022,0.0036,0.0053
551,-1,0.0096,0.0021,0.0035,0.0025
552,-1,0.009,0.0026,0.0037,0.0027
553,-1,0.0229,0.0033,0.0106,0.0113
554,-1,0.0098,0.0024,0.0037,0.0027
555,-1,0.008,0.0022,0.0033,0.0021
556,565,0.0115,0.0051,0.0162,0.0136
557,575,0.0127,0.0059,0.0096,0.0101
558,585,0.0108,0.0054,0.012,0.0131
559,595,0.5999,0.0088,0.0202,0.0206
560,605,0.0145,0.0056,0.0202,0.0221
561,615,0.0135,0.0067,0.0223,0.0272
562,625,0.0164,0.0064,0.064,0.0567
563,635,0.0423,0.0076,0.0255,0.0361
564,645,0.0157,0.005,0.0266,0.0323
565,655,0.0175,0.0077,0.0326,0.0408
566,656,0.0135,0.0061,0.0321,0.0603
567,576,0.0079,0.0043,0.0055,0.0069
568,586,0.0255,0.0082,0.0113,0.0109
569,596,0.0124,0.0059,0.0147,0.0166
570,705,0.017,0.0073,0.0729,0.0571
571,715,0.0106,0.0049,0.0453,0.0737
572,725,0.0173,0.0082,0.0643,0.0758
573,735,0.0212,0.008,0.0877,0.0692
574,745,0.0179,0.0071,0.0582,0.1135
575,755,0.0179,0.0068,0.2135,0.1856
576,657,0.0213,0.008,0.0314,0.0377
577,757,0.0433,0.0107,0.0692,0.0814
578,587,0.0097,0.0053,0.0107,0.2809
579,597,0.0103,0.0052,0.0152,0.0135
580,805,0.0585,0.01,0.1257,0.0967
581,815,0.0136,0.0064,0.0873,0.1075
